,urban,gender,age,hand,voted,married,familysize,points,result
0,0,1,28,1,2,1,1,68,complotist
1,2,2,14,1,2,1,1,65,complotist
2,2,2,26,1,1,1,2,37,Not complotist
3,1,1,25,1,1,1,3,55,complotist
4,2,1,37,1,2,2,2,59,complotist
5,1,1,34,1,1,2,2,15,Not complotist
6,2,1,17,1,2,1,2,46,complotist
7,1,1,23,1,2,1,3,66,complotist
8,3,1,17,1,2,1,2,15,Not complotist
9,3,1,28,1,1,2,3,27,Not complotist
10,2,3,20,1,1,1,2,56,complotist
11,1,1,40,2,2,3,3,57,complotist
12,2,1,32,1,2,1,3,57,complotist
13,2,2,41,1,2,2,3,70,complotist
14,3,2,14,1,2,1,2,71,complotist
15,3,1,16,1,2,1,2,61,complotist
16,3,1,35,1,2,1,3,42,complotist
17,2,1,18,1,2,1,3,19,Not complotist
18,3,2,46,3,2,1,2,26,Not complotist
19,1,1,44,1,2,2,5,49,complotist
20,2,2,17,1,2,1,6,20,Not complotist
21,2,2,18,1,2,1,3,45,complotist
22,2,1,45,1,1,2,3,47,complotist
23,1,2,41,1,2,1,2,72,complotist
24,2,1,51,2,2,2,3,75,complotist
25,3,1,26,1,1,1,2,19,Not complotist
26,2,3,23,1,1,1,2,31,Not complotist
27,1,3,26,1,2,1,1,29,Not complotist
28,2,1,18,1,2,1,3,36,Not complotist
29,1,1,22,1,2,1,4,59,complotist
30,2,1,14,1,2,1,6,44,complotist
31,1,2,34,1,2,1,3,58,complotist
32,2,2,23,1,2,1,2,55,complotist
33,2,2,24,1,1,1,4,43,complotist
34,2,2,22,1,2,1,6,38,Not complotist
35,3,2,63,1,2,3,3,75,complotist
36,3,2,19,1,2,1,5,66,complotist
37,2,1,19,1,1,1,1,36,Not complotist
38,2,1,22,1,2,1,2,46,complotist
39,3,2,62,1,1,1,2,40,complotist
40,3,2,19,1,2,1,1,54,complotist
41,1,2,34,1,2,2,2,30,Not complotist
42,3,2,20,1,1,1,2,64,complotist
43,1,1,35,1,1,1,2,27,Not complotist
44,2,2,16,3,2,1,15,54,complotist
45,3,1,28,1,2,1,1,22,Not complotist
46,2,2,16,1,2,1,2,43,complotist
47,2,2,17,1,2,1,4,49,complotist
48,3,2,41,1,1,2,4,34,Not complotist
49,3,2,19,1,1,1,3,33,Not complotist
50,3,1,19,1,2,1,2,40,complotist
51,1,1,21,1,2,1,2,55,complotist
52,2,1,18,1,2,1,3,56,complotist
53,1,2,29,1,2,1,3,26,Not complotist
54,3,2,51,1,2,3,1,38,Not complotist
55,3,1,28,1,2,1,3,27,Not complotist
56,3,2,19,1,2,1,2,29,Not complotist
57,3,1,25,1,1,1,1,45,complotist
58,3,2,18,1,2,1,2,45,complotist
59,3,1,26,1,2,1,2,46,complotist
60,2,1,39,1,2,1,2,35,Not complotist
61,3,1,19,1,2,1,0,20,Not complotist
62,1,1,21,1,2,1,2,65,complotist
63,3,1,35,1,2,2,3,74,complotist
64,1,2,24,2,2,1,2,34,Not complotist
65,1,1,28,1,2,1,4,26,Not complotist
66,2,1,28,1,2,1,2,54,complotist
67,2,1,23,2,2,1,2,26,Not complotist
68,3,2,16,1,2,1,2,49,complotist
69,2,2,24,1,2,1,1,66,complotist
70,1,1,30,1,2,2,2,54,complotist
71,2,2,16,3,2,1,3,48,complotist
72,3,3,17,3,1,1,2,31,Not complotist
73,2,1,24,1,1,2,1,37,Not complotist
74,3,1,20,1,2,1,2,18,Not complotist
75,2,2,53,1,1,3,5,21,Not complotist
76,3,2,29,1,2,1,2,53,complotist
77,2,2,13,1,2,1,6,59,complotist
78,3,2,55,2,2,1,2,70,complotist
79,1,2,55,1,2,3,12,46,complotist
80,3,2,16,1,2,1,4,37,Not complotist
81,2,1,21,1,1,1,2,57,complotist
82,2,3,15,3,2,1,2,36,Not complotist
83,2,2,21,1,2,1,3,27,Not complotist
84,2,1,16,1,2,1,1,44,complotist
